budget_fiscal_year,fundtype,appr,appropriation,service,objectgroup,expenditure_classification,current_budget,encumbrance,expenses,encumb_expense,ftyp,service_number
2016,General Fund,0001PER,Human Resources GF,Human Resource Consulting,QV,Contractual & Other Services,889705,0,749462.93,749462.93,GNFD,5.39
2016,General Fund,0001PBW,Public Works GF,Capital and Implementation Program,RE,Reimbursements,-5164604,0,-4844198.49,-4844198.49,GNFD,2.0499999999999998
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Wastewater Treatment,RC,Capital Outlay,591569,0,697445.40,697445.40,EFOP,3.25
2016,General Fund,0001LIB,Library GF,"Literacy Initiatives, Education & Community Engagement",QM,Supplies & Materials,28201,0,18977.68,18977.68,GNFD,4.08
2016,General Fund,0001CVS,Civil Service GF,Civil Service Board Administration/Employee Appeals Process,QV,Contractual & Other Services,61936,0,22278.01,22278.01,GNFD,5.2
2016,General Fund,0001DPD,Police Department GF,Police Administrative Support,QM,Supplies & Materials,2481323,0,2932476.20,2932476.20,GNFD,1.21
2016,General Fund,0001CCO,City Controller's Office GF,Financial Reporting,QV,Contractual & Other Services,228668,0,218287.38,218287.38,GNFD,5.32
2016,General Fund,0001PBW,Public Works GF,Interagency and Transportation Administration,QM,Supplies & Materials,8209,0,10154.65,10154.65,GNFD,2.2599999999999998
2016,Internal Service Fund,0199POM,Express Business Center POM,Disposal of Surplus and Police Unclaimed Property,PS,Personnel Services,188844,0,186348.68,186348.68,INSV,5.G
2016,General Fund,0001PKR,Park and Recreation GF,Golf and Tennis Centers,QM,Supplies & Materials,1217229,0,1336539.13,1336539.13,GNFD,4.04
2016,General Fund,0001PKR,Park and Recreation GF,"Planning, Design, Construction & EMS and Environ Compliance",QV,Contractual & Other Services,283237,0,72574.36,72574.36,GNFD,4.0999999999999996
2016,General Fund,0001PKR,Park and Recreation GF,Golf and Tennis Centers,RE,Reimbursements,-357319,0,-535611.07,-535611.07,GNFD,4.04
2016,General Fund,0001LIB,Library GF,Library Materials & Collection Management,QV,Contractual & Other Services,1944446,0,1399658.85,1399658.85,GNFD,4.0599999999999996
2016,General Fund,0001PER,Human Resources GF,Compensation Analysis / Classification,QV,Contractual & Other Services,121455,0,82371.73,82371.73,GNFD,5.21
2016,Internal Service Fund,0199POM,Express Business Center POM,Disposal of Surplus and Police Unclaimed Property,TR,Transfers Out,11368,0,0,0,INSV,5.G
2016,Internal Service Fund,0196EBS,Equipment Services EBS,City Fleet Maintenance and Repair Services,PS,Personnel Services,13098086,0,12776108.53,12776108.53,INSV,5.E
2016,General Fund,0001PBW,Public Works GF,Capital Facilities,QM,Supplies & Materials,10040,0,25186.86,25186.86,GNFD,2.0699999999999998
2016,General Fund,0001PKR,Park and Recreation GF,Operation & Maintenance of Fair Park,PS,Personnel Services,3534037,0,3289819.77,3289819.77,GNFD,2.2999999999999998
2016,Other Operating Fund,0278PER,Employee Benefits Administration,HR Benefits Administration Services,PS,Personnel Services,613928,0,513333.48,513333.48,OTHO,5.J
2016,Other Operating Fund,0286PER,Wellness Program Fund,Wellness Program,QM,Supplies & Materials,1000,0,392.9,392.9,OTHO,5.R
2016,General Fund,0001PKR,Park and Recreation GF,Recreation Services,PS,Personnel Services,12693742,0,13307630.72,13307630.72,GNFD,4.12
2016,General Fund,0001DPD,Police Department GF,Police Academy and In-service Training,PS,Personnel Services,17663542,0,16743902.62,16743902.62,GNFD,1.2
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Fire Training and Recruitment,QM,Supplies & Materials,461293,0,901942.65,901942.65,GNFD,1.1200000000000001
2016,Internal Service Fund,0198DSV,Information Technology DSV,Internal Computer Support,RC,Capital Outlay,0,0,755280,755280,INSV,5.K
2017,General Fund,0001DFD,Dallas Fire Rescue GF,Special Operations,RE,Reimbursements,-5951946,0,-1423171.39,-1423171.39,GNFD,1.33
2016,Internal Service Fund,0196EBS,Equipment Services EBS,Fuel Procurement and Management,QM,Supplies & Materials,14245013,0,11073755.20,11073755.20,INSV,5.I
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Special Operations,RE,Reimbursements,-5951946,0,-5853507.19,-5853507.19,GNFD,1.33
2016,General Fund,0001DEV,Sustainable Dev and Construction GF,Real Estate and Relocation,QM,Supplies & Materials,16481,0,19459.47,19459.47,GNFD,2.35
2016,Enterprise Operating Fund,0080CCT,Convention Center CCT,Dallas Convention Center,QM,Supplies & Materials,4083826,0,3808098.31,3808098.31,EFOP,2.1
2016,General Fund,0001ECO,Economic Development GF,Small Business Initiatives,RE,Reimbursements,-670815,0,-393685,-393685,GNFD,2.4
2016,General Fund,0001POM,Business Development & Procurement GF,Business Inclusion & Development Compliance Monitoring,PS,Personnel Services,475373,0,447457.60,447457.60,GNFD,5.1100000000000003
2016,General Fund,0001ATT,City Attorney's Office GF,Department Support,QM,Supplies & Materials,70235,0,47713.83,47713.83,GNFD,9.99
2016,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,GIS Mapping for Private Development,RE,Reimbursements,0,0,-10040,-10040,EFOP,2.2200000000000002
2016,Enterprise Operating Fund,0130AVI,Airport Operations AVI,Aviation Facilities - Dallas Executive Airport & Vertiport,RE,Reimbursements,0,0,-57901.25,-57901.25,EFOP,2.21
2017,General Fund,0001STS,Street Services GF,Traffic Safety and Congestion Management,RC,Capital Outlay,1800000,0,6000,6000,GNFD,2.48
2016,General Fund,0001STS,Street Services GF,Traffic Operations Maintenance,RE,Reimbursements,-837449,0,-1293752.91,-1293752.91,GNFD,2.4700000000000002
2016,Enterprise Operating Fund,0130AVI,Airport Operations AVI,Capital Construction and Debt Service,TR,Transfers Out,25153923,0,19873688.55,19873688.55,EFOP,2.06
2016,Enterprise Operating Fund,0080CCT,Convention Center CCT,Office of Special Events,PS,Personnel Services,446280,0,386470.99,386470.99,EFOP,2.29
2016,General Fund,0001BMS,Office of Financial Services GF,Grant Administration,PS,Personnel Services,1099050,0,1107076.65,1107076.65,GNFD,5.36
2016,General Fund,0001ATT,City Attorney's Office GF,Community Prosecution & Community Courts,QM,Supplies & Materials,23968,0,82221.41,82221.41,GNFD,3.07
2016,Internal Service Fund,0196EBS,Equipment Services EBS,Environmental Services for City Fleet Operations,QM,Supplies & Materials,67603,0,10846.31,10846.31,INSV,5.H
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Fire Inspection for New Construction,QV,Contractual & Other Services,62518,0,86050.63,86050.63,GNFD,2.1800000000000002
2016,General Fund,0001PKR,Park and Recreation GF,Aquatic Services,QM,Supplies & Materials,749644,0,869976.30,869976.30,GNFD,4.01
2016,General Fund,0001IGS,Mgmt Services - Intergovernmental Services,Intergovernmental Services,QV,Contractual & Other Services,79359,0,84563.50,84563.50,GNFD,5.41
2016,Internal Service Fund,0196EBS,Equipment Services EBS,City Fleet Paint and Body Shop Coordination,QM,Supplies & Materials,267,0,6649.41,6649.41,INSV,5.F
2016,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,Floodplain and Drainage Management,QM,Supplies & Materials,20358,0,43017.46,43017.46,EFOP,2.2000000000000002
2016,General Fund,0001BMS,Office of Financial Services GF,Grant Administration,RE,Reimbursements,0,0,-48131.45,-48131.45,GNFD,5.36
2016,General Fund,0001ECO,Economic Development GF,Economic Development Major Projects & Other Programs,RE,Reimbursements,-346752,0,-239998.50,-239998.50,GNFD,2.13
2016,General Fund,0001TWM,Trinity Watershed Management GF,Trinity River Corridor Operations,PS,Personnel Services,638013,0,561601.03,561601.03,GNFD,2.4900000000000002
2017,Enterprise Operating Fund,0130AVI,Airport Operations AVI,Dallas Love Field,WA,Debt Svc-Principal,266039,0,132392.54,132392.54,EFOP,2.12
2017,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,Stormwater Regulations & Enforcement,RC,Capital Outlay,199930,0,31965.75,31965.75,EFOP,3.22
2016,General Fund,0001PBW,Public Works GF,Capital and Implementation Program,QM,Supplies & Materials,58392,0,72054.02,72054.02,GNFD,2.0499999999999998
2016,General Fund,0001PKR,Park and Recreation GF,Recreation Services,QV,Contractual & Other Services,4425289,0,3192359.59,3192359.59,GNFD,4.12
2016,General Fund,0001MCC,Mayor and City Council GF,Administrative Support for the Mayor and City Council,PS,Personnel Services,3587074,0,3864787.19,3864787.19,GNFD,5.03
2016,General Fund,0001PKR,Park and Recreation GF,"Planning, Design, Construction & EMS and Environ Compliance",QM,Supplies & Materials,29352,0,17767.31,17767.31,GNFD,4.0999999999999996
2017,Enterprise Operating Fund,0100DWU,Water Utilities DWU,DWU General Expense,TR,Transfers Out,24554000,0,6016926.75,6016926.75,EFOP,5.26
2016,General Fund,0001PIO,Mgmt Services - Public Information Office,Public Information Office / Communications & Broadcasting,QM,Supplies & Materials,29779,0,24650.18,24650.18,GNFD,5.48
2017,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Engineering & Inspection Review for Private Development,RE,Reimbursements,-548741,0,-166228,-166228,EFOP,2.15
2017,General Fund,0001CCO,City Controller's Office GF,Cash and Debt Management,QM,Supplies & Materials,0,0,7.46,7.46,GNFD,5.12
2016,General Fund,0001BMS,Office of Financial Services GF,Department Support,PS,Personnel Services,301049,0,258280.67,258280.67,GNFD,9.99
2016,General Fund,0001OEQ,Mgmt Services - Environmental Quaity,Environmental Quality,PS,Personnel Services,1862852,0,1878613.46,1878613.46,GNFD,3.14
2016,General Fund,0001ECO,Economic Development GF,Economic Development Research and Information Services,RE,Reimbursements,-511191,0,-514383.09,-514383.09,GNFD,2.14
2016,Enterprise Operating Fund,0140OCA,Municipal Radio OCA,WRR Municipal Radio Classical Music,QM,Supplies & Materials,96915,0,86743.09,86743.09,EFOP,4.13
2016,General Fund,0001STS,Street Services GF,Street Repair Division - Asphalt,QV,Contractual & Other Services,3767846,0,2675200.18,2675200.18,GNFD,2.4300000000000002
2016,General Fund,0001ATT,City Attorney's Office GF,General Counsel,QM,Supplies & Materials,18072,0,5677.68,5677.68,GNFD,5.34
2016,General Fund,0001PKR,Park and Recreation GF,Golf and Tennis Centers,QV,Contractual & Other Services,775355,0,955744.99,955744.99,GNFD,4.04
2016,General Fund,0001ATT,City Attorney's Office GF,Code Litigation,PS,Personnel Services,894554,0,854897.16,854897.16,GNFD,3.06
2016,General Fund,0001PBW,Public Works GF,Ambient Air Monitoring,RE,Reimbursements,-741278,0,-755298.14,-755298.14,GNFD,3.02
2017,General Fund,0001CVS,Civil Service GF,Applicant Processing - Civilian,RE,Reimbursements,0,0,-557.78,-557.78,GNFD,5.05
2016,General Fund,0001PBW,Public Works GF,Interagency and Transportation Administration,RE,Reimbursements,-704867,0,-867255.11,-867255.11,GNFD,2.2599999999999998
2016,General Fund,0001CTJ,Judiciary GF,Civil Adjudication Court,PS,Personnel Services,434701,0,175971.42,175971.42,GNFD,1.03
2016,General Fund,0001PBW,Public Works GF,Air Quality Compliance,QV,Contractual & Other Services,183929,0,162099.55,162099.55,GNFD,3.01
2016,General Fund,0001DPD,Police Department GF,Police Special Operations,PS,Personnel Services,31263093,0,32974036.01,32974036.01,GNFD,1.31
2016,General Fund,0001MCC,Mayor and City Council GF,Administrative Support for the Mayor and City Council,RE,Reimbursements,0,0,-151304.70,-151304.70,GNFD,5.03
2017,General Fund,0001DPD,Police Department GF,Police Academy and In-service Training,RC,Capital Outlay,0,0,8937.60,8937.60,GNFD,1.2
2016,General Fund,0001PBW,Public Works GF,Street Cut and Right-of-Way Management (Cut Control),QV,Contractual & Other Services,121086,0,131432.23,131432.23,GNFD,2.41
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Fire Training and Recruitment,RC,Capital Outlay,0,0,13.95,13.95,GNFD,1.1200000000000001
2016,General Fund,0001ECO,Economic Development GF,Economic Development Major Projects & Other Programs,QM,Supplies & Materials,9462,0,1384.92,1384.92,GNFD,2.13
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Fire Investigation & Explosive Ordnance Disposal,QV,Contractual & Other Services,527160,0,733350.91,733350.91,GNFD,1.1100000000000001
2016,Internal Service Fund,0196EBS,Equipment Services EBS,Environmental Services for City Fleet Operations,QV,Contractual & Other Services,1513441,0,787589.60,787589.60,INSV,5.H
2016,General Fund,0001PBW,Public Works GF,Pavement Management,QV,Contractual & Other Services,53708,0,32667.54,32667.54,GNFD,2.31
2016,General Fund,0001CVS,Civil Service GF,Fire Applicant - Physical Abilities Testing,QM,Supplies & Materials,125,0,137.76,137.76,GNFD,5.33
2017,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,Floodplain and Drainage Management,PS,Personnel Services,3059803,0,827244.53,827244.53,EFOP,2.2000000000000002
2017,General Fund,0001STS,Street Services GF,Capital and Implementation Program,PS,Personnel Services,5731016,0,1896867.63,1896867.63,GNFD,2.0499999999999998
2016,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,Landfill Services,TR,Transfers Out,6781954,0,6645762.25,6645762.25,EFOP,3.16
2017,General Fund,0001CTS,Court and Detention Services GF,Illegal Dump Team - Criminal Investigations and Arrests,RE,Reimbursements,-913180,0,-251251.44,-251251.44,GNFD,3.15
2017,Internal Service Fund,0196EBS,Equipment Services EBS,Fuel Procurement and Management,RE,Reimbursements,-358179,0,-94680.96,-94680.96,INSV,5.I
2017,General Obligation Debt Service,0981BMS,Debt Service BMS,Debt Service,WB,Debt Svc-Interest On Bonds,106075392,0,62742077.07,62742077.07,DSGO,8.8800000000000008
2016,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Engineering & Inspection Review for Private Development,QV,Contractual & Other Services,381531,0,212860.35,212860.35,EFOP,2.15
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Department Support,QV,Contractual & Other Services,1096562,0,928380.21,928380.21,EFOP,9.99
2016,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,Recycling Collection and Waste Diversion,QV,Contractual & Other Services,5811132,0,6661993.39,6661993.39,EFOP,3.19
2016,General Fund,0001HOU,Housing GF,Comprehensive Homeless Outreach,TR,Transfers Out,0,0,0,0,GNFD,3.09
2017,General Fund,0001OCA,Office of Cultural Affairs GF,City-Owned Cultural Venues,WA,Debt Svc-Principal,0,0,308009.96,308009.96,GNFD,4.0199999999999996
2017,General Fund,0001OFS,Non-Departmental,Non-Departmental,PS,Personnel Services,600000,0,0,0,GNFD,5.46
2017,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Zoning & Board of Adjustment,RE,Reimbursements,-88214,0,-19075.65,-19075.65,EFOP,2.5499999999999998
2017,General Fund,0001ATT,City Attorney's Office GF,DFW International Airport Legal Counsel,QV,Contractual & Other Services,735,0,885,885,GNFD,5.25
2017,General Fund,0001ECO,Economic Development GF,Area Redevelopment,QM,Supplies & Materials,10420,0,559.19000000000005,559.19000000000005,GNFD,2.0099999999999998
2016,General Fund,0001EAD,Mgmt Services - Ethics and Diversity,Ethics and Diversity,PS,Personnel Services,239865,0,91142.72,91142.72,GNFD,5.3
2017,General Fund,0001DPD,Police Department GF,Police Investigation of Vice Related Crimes,RE,Reimbursements,-26000,0,-16725,-16725,GNFD,1.26
2017,General Fund,0001OCA,Office of Cultural Affairs GF,Cultural Services Contracts,RE,Reimbursements,-1530267,0,-600,-600,GNFD,4.03
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Wastewater Collection,RC,Capital Outlay,532500,0,445530.80,445530.80,EFOP,3.24
2016,General Fund,0001ATT,City Attorney's Office GF,Police Legal Liaison,QV,Contractual & Other Services,92841,0,79072.75,79072.75,GNFD,1.28
2016,General Fund,0001DPD,Police Department GF,Police Field Patrol,RE,Reimbursements,0,0,-2429330.60,-2429330.60,GNFD,1.24
2017,General Fund,0001TWM,Trinity Watershed Management GF,Trinity River Corridor Operations,RC,Capital Outlay,0,0,10031.04,10031.04,GNFD,2.4900000000000002
2017,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,Residential Refuse Collection,TR,Transfers Out,900516,0,115.61,115.61,EFOP,3.2
2016,General Fund,0001DPD,Police Department GF,Juvenile Case Managers/First Offender Program,QV,Contractual & Other Services,0,0,0,0,GNFD,1.1499999999999999
2016,General Fund,0001ATT,City Attorney's Office GF,DFW International Airport Legal Counsel,QV,Contractual & Other Services,0,0,705,705,GNFD,5.25
2017,General Fund,0001CVS,Civil Service GF,Analysis/Development and Validation,RE,Reimbursements,0,0,-1002.28,-1002.28,GNFD,5.04
2016,General Fund,0001HOU,Housing GF,Comprehensive Homeless Outreach,QV,Contractual & Other Services,5735120,0,5945573.59,5945573.59,GNFD,3.09
2017,Enterprise Operating Fund,0080CCT,Convention Center CCT,Dallas Convention Center,TR,Transfers Out,13677541,0,1445542.64,1445542.64,EFOP,2.1
2016,General Fund,0001SEC,City Secretary's Office GF,Records Management,QV,Contractual & Other Services,324263,0,180996.88,180996.88,GNFD,5.5
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Water Utilities Capital Program Management,QV,Contractual & Other Services,1921681,0,1582478.77,1582478.77,EFOP,2.54
2016,Internal Service Fund,0196EBS,Equipment Services EBS,City Fleet Asset Management,QV,Contractual & Other Services,1329937,0,1269283.40,1269283.40,INSV,5.D
2017,General Fund,0001OCA,Office of Cultural Affairs GF,City-Owned Cultural Venues,WB,Debt Svc-Interest On Bonds,0,0,23345.54,23345.54,GNFD,4.0199999999999996
2017,General Fund,0001STS,Street Services GF,Mobility Planning,PS,Personnel Services,710017,0,278741.36,278741.36,GNFD,2.27
2016,General Fund,0001OFS,Non-Departmental,Non-Departmental,PS,Personnel Services,600000,0,489100.96,489100.96,GNFD,5.46
2016,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Subdivision Plat Review,QV,Contractual & Other Services,118256,0,28910.22,28910.22,EFOP,2.4500000000000002
2016,General Fund,0001ATT,City Attorney's Office GF,Code Litigation,QV,Contractual & Other Services,126416,0,103640.75,103640.75,GNFD,3.06
2017,General Fund,0001ADM,Mgmt Services - Admin,311 Customer Service Center,RE,Reimbursements,-299179,0,-299179,-299179,GNFD,5.01
2017,General Fund,0001POM,Business Development & Procurement GF,Vendor Development,QM,Supplies & Materials,225,0,195,195,GNFD,2.5099999999999998
2017,General Fund,0001STS,Street Services GF,Street Resurfacing,PS,Personnel Services,524585,0,102635.49,102635.49,GNFD,2.56
2016,General Obligation Debt Service,0981BMS,Debt Service BMS,Debt Service,QV,Contractual & Other Services,10923451,0,10710577.07,10710577.07,DSGO,8.8800000000000008
2017,General Fund,0001CSC,Mgmt Services - 311 Customer Service Center,311 Customer Service Center,RE,Reimbursements,-4129653,0,-2196416.32,-2196416.32,GNFD,5.01
2016,General Fund,0001PIO,Mgmt Services - Public Information Office,Public Information Office / Communications & Broadcasting,QV,Contractual & Other Services,171204,0,241695.14,241695.14,GNFD,5.48
2017,General Fund,0001EBS,Building Services GF,Energy Procurement and Monitoring,RE,Reimbursements,-159493,0,-442346.44,-442346.44,GNFD,5.29
2016,General Fund,0001DPD,Police Department GF,Juvenile Case Managers/First Offender Program,RE,Reimbursements,-489854,0,-416112.69,-416112.69,GNFD,1.1499999999999999
2016,General Fund,0001DPD,Police Department GF,Police Administrative Support,RE,Reimbursements,-325051,0,-365416.08,-365416.08,GNFD,1.21
2016,General Fund,0001DPD,Police Department GF,Police Recruiting and Personnel Service,RE,Reimbursements,0,0,-187.42,-187.42,GNFD,1.3
2017,General Fund,0001CTJ,Judiciary GF,Court Security,QM,Supplies & Materials,6925,0,939.77,939.77,GNFD,1.05
2017,Enterprise Operating Fund,0080CCT,Convention Center CCT,Office of Special Events,QM,Supplies & Materials,9150,0,969.08,969.08,EFOP,2.29
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Water Conservation,RC,Capital Outlay,25000,0,23211,23211,EFOP,3.26
2017,General Fund,0001STS,Street Services GF,Street Cut and Right-of-Way Management (Cut Control),PS,Personnel Services,573021,0,180286.33,180286.33,GNFD,2.41
2017,Other Gifts and Donations,0398MCC,Gifts and Donations,NONE,QV,Contractual & Other Services,500,0,0,0,OTGD,
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Department Support,RE,Reimbursements,-1611733,0,-1611733,-1611733,GNFD,9.99
2016,General Fund,0001OFS,Non-Departmental,General Obligation Commercial Paper and Master Lease Program,RC,Capital Outlay,0,0,760136.80,760136.80,GNFD,5.35
2017,General Fund,0001DEV,Sustainable Dev and Construction GF,Authorized Hearings,QV,Contractual & Other Services,42047,0,2945.18,2945.18,GNFD,2.02
2016,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Zoning & Board of Adjustment,QV,Contractual & Other Services,301927,0,121589.35,121589.35,EFOP,2.5499999999999998
2016,General Fund,0001HOU,Housing GF,Community/Senior Services,QV,Contractual & Other Services,1618339,0,1742049.11,1742049.11,GNFD,3.08
2017,Internal Service Fund,0196EBS,Equipment Services EBS,Environmental Services for City Fleet Operations,RE,Reimbursements,-1145676,0,-162577.64,-162577.64,INSV,5.H
2017,General Obligation Debt Service,0981BMS,Debt Service BMS,Debt Service,WA,Debt Svc-Principal,142294089,0,131239089,131239089,DSGO,8.8800000000000008
2016,General Fund,0001HOU,Housing GF,Home Ownership/Development,QV,Contractual & Other Services,9191,0,22615.13,22615.13,GNFD,2.2400000000000002
2016,General Fund,0001STS,Street Services GF,Traffic Safety and Congestion Management,RE,Reimbursements,-195029,0,-51466.59,-51466.59,GNFD,2.48
2016,General Fund,0001LIB,Library GF,Library Operations & Public Service,PS,Personnel Services,17840715,0,16614079.33,16614079.33,GNFD,4.07
2016,General Fund,0001PER,Human Resources GF,Human Resource Consulting,RE,Reimbursements,-292724,0,-286366.52,-286366.52,GNFD,5.39
2016,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,Brush/Bulk Waste Removal Services,TR,Transfers Out,863073,0,426507.23,426507.23,EFOP,3.04
2016,General Fund,0001PNV,Planning and Urban Design GF,Department Support,RE,Reimbursements,-591799,0,-961809.80,-961809.80,GNFD,9.99
2017,General Fund,0001PKR,Park and Recreation GF,"Planning, Design, Construction & EMS and Environ Compliance",RE,Reimbursements,-100000,0,-11256.72,-11256.72,GNFD,4.0999999999999996
2016,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Field Inspections of Private Development Construction Sites,QM,Supplies & Materials,194846,0,171033.96,171033.96,EFOP,2.17
2016,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,Brush/Bulk Waste Removal Services,QV,Contractual & Other Services,6006492,0,5060622.82,5060622.82,EFOP,3.04
2016,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,Stormwater Regulations & Enforcement,QM,Supplies & Materials,327795,0,335650.45,335650.45,EFOP,3.22
2016,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,Residential Refuse Collection,QM,Supplies & Materials,3343190,0,3878272.73,3878272.73,EFOP,3.2
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Fire-Rescue Equipment Maintenance and Supply,QM,Supplies & Materials,3201780,0,1560086.90,1560086.90,GNFD,1.1299999999999999
2016,General Fund,0001DPD,Police Department GF,Police Community Outreach,QV,Contractual & Other Services,97916,0,126934.82,126934.82,GNFD,1.22
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Fire Dispatch and Communications,RE,Reimbursements,-3461000,0,0,0,GNFD,1.1000000000000001
2017,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Engineering & Inspection Review for Private Development,WB,Debt Svc-Interest On Bonds,3469,0,2795.81,2795.81,EFOP,2.15
2016,General Fund,0001OEQ,Mgmt Services - Environmental Quaity,Environmental Quality,QM,Supplies & Materials,57387,0,53504.09,53504.09,GNFD,3.14
2016,General Fund,0001ATT,City Attorney's Office GF,General Counsel,QV,Contractual & Other Services,633414,0,437017.97,437017.97,GNFD,5.34
2016,General Fund,0001PKR,Park and Recreation GF,Recreation Services,RC,Capital Outlay,100000,0,144756.91,144756.91,GNFD,4.12
2016,General Fund,0001CSC,Mgmt Services - 311 Customer Service Center,311 Customer Service Center,QV,Contractual & Other Services,905418,0,946884.64,946884.64,GNFD,5.01
2016,Internal Service Fund,0198DSV,Information Technology DSV,Public Safety Technology Support,RC,Capital Outlay,0,0,12600,12600,INSV,5.O
2017,General Fund,0001STL,Street Lighting,Street Lighting,RE,Reimbursements,0,0,-106.05,-106.05,GNFD,2.42
2017,General Fund,0001LEW,Jail Contract,Lew Sterrett Jail Contract,QV,Contractual & Other Services,7812862,0,3255359.15,3255359.15,GNFD,1.1599999999999999
2017,General Fund,0001DPD,Police Department GF,Department Support,RE,Reimbursements,-8683455,0,-22,-22,GNFD,9.99
2016,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Private Development Records and Archival Library,QV,Contractual & Other Services,240367,0,23419.81,23419.81,EFOP,2.33
2016,General Fund,0001PKR,Park and Recreation GF,Leisure Venue Management,QV,Contractual & Other Services,17178489,0,15793980.63,15793980.63,GNFD,4.05
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Fire Training and Recruitment,RE,Reimbursements,0,0,-7300,-7300,GNFD,1.1200000000000001
2016,General Fund,0001PNV,Planning and Urban Design GF,Neighborhood Vitality,QV,Contractual & Other Services,205125,0,375301.51,375301.51,GNFD,2.2799999999999998
2017,General Fund,0001DEV,Sustainable Dev and Construction GF,Historic Preservation,RE,Reimbursements,-167363,0,-18411.87,-18411.87,GNFD,2.23
2017,General Fund,0001POM,Business Development & Procurement GF,Business Inclusion & Development Compliance Monitoring,RE,Reimbursements,-77110,0,0,0,GNFD,5.1100000000000003
2017,Internal Service Fund,0196EBS,Equipment Services EBS,City Fleet Maintenance and Repair Services,RE,Reimbursements,-353376,0,-65072,-65072,INSV,5.E
2017,General Fund,0001MCC,Mayor and City Council GF,Administrative Support for the Mayor and City Council,RE,Reimbursements,0,0,-22395.55,-22395.55,GNFD,5.03
2016,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,Residential Refuse Collection,TR,Transfers Out,3733763,0,844537.73,844537.73,EFOP,3.2
2016,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,City Facility Services,TR,Transfers Out,40663,0,0,0,EFOP,3.05
2016,General Fund,0001DPD,Police Department GF,Police Criminal Investigations,RE,Reimbursements,-236000,0,-328719.83,-328719.83,GNFD,1.23
2016,General Fund,0001EBS,Building Services GF,Department Support,QV,Contractual & Other Services,9907,0,71946.91,71946.91,GNFD,9.99
2016,General Fund,0001STS,Street Services GF,Traffic Safety and Congestion Management,QV,Contractual & Other Services,952091,0,952096.55,952096.55,GNFD,2.48
2016,Internal Service Fund,0197DSV,Radio Services DSV,Internal Radio Communication,QM,Supplies & Materials,737436,0,900138.29,900138.29,INSV,5.M
2016,General Fund,0001DPD,Police Department GF,Police Recruiting and Personnel Service,QM,Supplies & Materials,97662,0,139440.40,139440.40,GNFD,1.3
2016,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,Recycling Collection and Waste Diversion,TR,Transfers Out,863694,0,265612.49,265612.49,EFOP,3.19
2016,General Fund,0001CCO,City Controller's Office GF,Accounts Payable,QM,Supplies & Materials,39164,0,39507.68,39507.68,GNFD,5.0199999999999996
2017,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Subdivision Plat Review,PS,Personnel Services,467076,0,190451.19,190451.19,EFOP,2.4500000000000002
2017,General Fund,0001CTJ,Judiciary GF,Civil Adjudication Court,PS,Personnel Services,398043,0,60699.10,60699.10,GNFD,1.03
2017,General Fund,0001DFD,Dallas Fire Rescue GF,Fire-Rescue Equipment Maintenance and Supply,PS,Personnel Services,4131957,0,2062405.31,2062405.31,GNFD,1.1299999999999999
2017,General Fund,0001PER,Human Resources GF,Compensation Analysis / Classification,PS,Personnel Services,367509,0,173011.81,173011.81,GNFD,5.21
